purchase_month,orders,late_deliveries,late_delivery_rate,median_promised_window_days,promised_window_q25,promised_window_q75
2016-09,1,1,1.0,19.0,19.0,19.0
2016-10,251,2,0.00796812749003984,55.0,53.0,58.5
2016-12,1,0,0.0,27.0,27.0,27.0
2017-01,709,21,0.029619181946403384,39.0,35.0,45.0
2017-02,1598,41,0.025657071339173967,31.0,27.0,37.0
2017-03,2481,112,0.04514308746473196,23.0,21.0,29.0
2017-04,2237,144,0.06437192668752793,26.0,23.0,32.0
2017-05,3426,97,0.028312901342673672,24.0,21.0,29.0
2017-06,3026,92,0.03040317250495704,24.0,21.0,28.0
2017-07,3711,103,0.027755322015629212,24.0,20.0,28.0
2017-08,4032,116,0.028769841269841268,23.0,20.0,28.0
2017-09,4019,176,0.04379198805673053,23.0,18.0,27.0
2017-10,4329,178,0.04111804111804112,23.0,19.0,28.0
2017-11,7056,875,0.12400793650793651,23.0,20.0,27.0
2017-12,5353,394,0.07360358677377171,28.0,24.0,32.0
2018-01,6841,393,0.05744774155825172,26.0,22.0,31.0
2018-02,6293,880,0.13983791514381058,25.0,21.0,29.0
2018-03,6787,1281,0.18874318550169442,22.0,18.0,27.0
2018-04,6600,295,0.0446969696969697,24.0,19.0,29.0
2018-05,6574,435,0.06616975965926376,22.0,17.0,28.0
2018-06,5896,70,0.011872455902306648,28.0,22.0,35.0
2018-07,5936,199,0.03352425876010782,20.0,15.0,25.0
2018-08,6149,385,0.0626118067978533,14.0,9.0,20.0
