maximum_review_score,deadline_outcome,orders,flagged_orders,rate,vs_baseline
1,both_deadlines_met,80328,4672,0.05816153769544866,1.0
1,late_handoff_recovered,6688,648,0.09688995215311005,1.6658767287146883
1,on_time_handoff_late_delivery,4551,2439,0.5359261700725115,9.214442934414535
1,both_deadlines_missed,1739,939,0.5399654974123059,9.283893081364663
2,both_deadlines_met,80328,6616,0.08236231451050692,1.0
2,late_handoff_recovered,6688,885,0.13232655502392343,1.6066395876604778
2,on_time_handoff_late_delivery,4551,2824,0.6205229619863766,7.534064161191303
2,both_deadlines_missed,1739,1097,0.6308223116733755,7.659113460111685
3,both_deadlines_met,80328,12866,0.1601683099292899,1.0
3,late_handoff_recovered,6688,1571,0.23489832535885166,1.4665717922762194
3,on_time_handoff_late_delivery,4551,3332,0.7321467809272687,4.57110886198707
3,both_deadlines_missed,1739,1277,0.7343300747556066,4.584740109200091
