feature,coefficient,odds_ratio,absolute_coefficient,interpretation
categorical__customer_state_AL,1.0272763212447955,2.7934470115165735,1.0272763212447955,relative to the encoded categorical reference
numeric__promised_delivery_window_days,-0.904776034420597,0.4046324987074941,0.904776034420597,per one training-standard-deviation increase
categorical__customer_state_PR,-0.830265315677526,0.43593361095562305,0.830265315677526,relative to the encoded categorical reference
categorical__customer_state_SP,-0.828175002014843,0.4368458019891718,0.828175002014843,relative to the encoded categorical reference
categorical__customer_state_DF,-0.794418733044008,0.45184380047534584,0.794418733044008,relative to the encoded categorical reference
categorical__customer_state_MG,-0.765159509868063,0.46525971153990187,0.765159509868063,relative to the encoded categorical reference
numeric__purchase_month_cos,0.564639074788138,1.7588128682432898,0.564639074788138,per one training-standard-deviation increase
categorical__customer_state_PA,0.5478099565434917,1.729461271996784,0.5478099565434917,relative to the encoded categorical reference
categorical__customer_state_SE,0.48746057016312605,1.6281763261528783,0.48746057016312605,relative to the encoded categorical reference
numeric__same_state,-0.40824742746434584,0.6648143651380125,0.40824742746434584,per one training-standard-deviation increase
categorical__customer_state_RJ,0.3927909669164207,1.481108756238179,0.3927909669164207,relative to the encoded categorical reference
categorical__customer_state_GO,-0.3526913356519952,0.7027940873805594,0.3526913356519952,relative to the encoded categorical reference
numeric__distance_km,0.30895002855952525,1.3619943079853567,0.30895002855952525,per one training-standard-deviation increase
categorical__customer_state_BA,0.2938454791341682,1.341576586074277,0.2938454791341682,relative to the encoded categorical reference
categorical__customer_state_MT,-0.2883069152368639,0.7495315142913878,0.2883069152368639,relative to the encoded categorical reference
categorical__customer_state_RO,-0.2860186624857869,0.7512485956498209,0.2860186624857869,relative to the encoded categorical reference
categorical__customer_state_RS,-0.26381991207589167,0.7681118548713092,0.26381991207589167,relative to the encoded categorical reference
categorical__customer_state_MS,-0.25457119583252674,0.7752488566381507,0.25457119583252674,relative to the encoded categorical reference
categorical__customer_state_PE,-0.20631517869369848,0.8135766138549189,0.20631517869369848,relative to the encoded categorical reference
categorical__customer_state_MA,0.20627361250528006,1.2290894522365923,0.20627361250528006,relative to the encoded categorical reference
categorical__customer_state_CE,0.19505483595720705,1.2153776310582218,0.19505483595720705,relative to the encoded categorical reference
categorical__customer_state_PI,-0.16238354079772135,0.8501150881856897,0.16238354079772135,relative to the encoded categorical reference
numeric__purchase_month_sin,0.1571150002897499,1.17013017147245,0.1571150002897499,per one training-standard-deviation increase
categorical__customer_state_RN,-0.1374818229371338,0.8715501920758086,0.1374818229371338,relative to the encoded categorical reference
numeric__log_order_price,0.12615133879191986,1.1344538421662005,0.12615133879191986,per one training-standard-deviation increase
categorical__customer_state_AM,-0.12393017763514225,0.8834415227056693,0.12393017763514225,relative to the encoded categorical reference
categorical__customer_state_TO,-0.11834945370041067,0.8883855487470135,0.11834945370041067,relative to the encoded categorical reference
categorical__customer_state_RR,0.11646766747450239,1.1235211836026215,0.11646766747450239,relative to the encoded categorical reference
numeric__item_count,-0.09820410225686797,0.9064638735496613,0.09820410225686797,per one training-standard-deviation increase
numeric__total_weight_g,0.08274782600660052,1.08626784550601,0.08274782600660052,per one training-standard-deviation increase
categorical__customer_state_SC,-0.07522110916701572,0.9275383764157632,0.07522110916701572,relative to the encoded categorical reference
numeric__freight_ratio,0.0579218006135847,1.0596321298879183,0.0579218006135847,per one training-standard-deviation increase
categorical__customer_state_PB,0.04095199669387463,1.0418020944002795,0.04095199669387463,relative to the encoded categorical reference
numeric__purchase_day_sin,-0.035164177216952155,0.96544689886048,0.035164177216952155,per one training-standard-deviation increase
numeric__purchase_day_cos,-0.029609636408391538,0.9708244341021235,0.029609636408391538,per one training-standard-deviation increase
numeric__purchase_hour_cos,0.025785436355545047,1.02612075664251,0.025785436355545047,per one training-standard-deviation increase
categorical__customer_state_AP,-0.02303303985986817,0.9772301956911585,0.02303303985986817,relative to the encoded categorical reference
numeric__total_freight_value,0.020434279640101284,1.0206444889158388,0.020434279640101284,per one training-standard-deviation increase
numeric__purchase_hour_sin,-0.01922479689856754,0.9809588209546629,0.01922479689856754,per one training-standard-deviation increase
categorical__customer_state_ES,0.0003926561651781712,1.0003927332647011,0.0003926561651781712,relative to the encoded categorical reference
