feature,drop_in_roc_auc,standard_deviation
promised_delivery_window_days,0.27253545343790603,0.010935815467795151
purchase_month_cos,0.0030930066145154365,0.0011053086793532138
log_order_price,0.0025885601114109314,0.0008682141886073529
total_weight_g,0.0013488665319302483,0.0005281636505913237
purchase_hour_cos,0.0007746382085061842,0.00030002569215786655
purchase_hour_sin,0.000563298054566208,0.00023754805097528768
item_count,0.00018067377647679184,0.001085298880498182
customer_state,-6.725196580641413e-05,0.004316224660112001
purchase_day_cos,-0.0009977681331579057,0.0001720426116388249
purchase_day_sin,-0.0011764796506854801,0.0002254026771995386
total_freight_value,-0.0016003275837254138,0.0002671439484223818
freight_ratio,-0.0032139531206607287,0.00047278733262873793
purchase_month_sin,-0.007884194287961522,0.0008433358926209754
distance_km,-0.012446040919585944,0.0036748651258089
same_state,-0.033863302716958324,0.004468905481764309
