cohort,stage,orders,orders_removed,retained_from_previous_pct,retained_from_raw_pct
delivery_model,raw_orders,99441,0,100.00,100.00
delivery_model,delivered_orders,96478,2963,97.02,97.02
delivery_model,complete_order_timestamps,96455,23,99.98,97.00
delivery_model,coherent_delivery_timelines,96267,188,99.81,96.81
delivery_model,orders_with_usable_items,96245,22,99.98,96.79
delivery_model,single_seller_orders,94993,1252,98.70,95.53
delivery_model,final_modeling_population,94988,5,99.99,95.52
dissatisfaction_analysis,eligible_modeling_orders,94988,0,100.00,95.52
dissatisfaction_analysis,orders_with_usable_reviews,93308,1680,98.23,93.83
dissatisfaction_analysis,final_analysis_population,93306,2,100.00,93.83
